"Diameter (km)","Depth (km)"
0.07982941960016758,0.014919829014821818
0.10092035445929272,0.019853449238335357
0.11461716301664102,0.019023833071826726
0.12131544793886363,0.02014266346533583
0.14074936334126484,0.019860272964637837
0.10028995941367914,0.02585250197673372
0.12945060014569854,0.029826381057733543
0.1601676053723826,0.036172104388054294
0.16120973201187913,0.02983314227081245
0.2079512855467251,0.027984700466640706
0.3518401421479446,0.05594695201398709
0.4509592216560302,0.06547411013678511
1.5188873480525642,0.24720696811990334
1.6197100147663817,0.2976240725112396
2.5873744335384794,0.4504330696859279
2.778658913537823,0.5384453201020367
2.7796952470399994,0.6078938145322953
3.4109085745449956,0.49790062988271716
3.9597443220771624,0.5994985364624357
4.220181866056827,0.5995379874676452
4.8686316867448625,0.9400019780131279
6.063091315152643,0.9402150629883257
4.975403551162611,1.0919962448970808
5.495099358994875,1.18975024027416
6.748993612516069,1.3056815631283165
6.797824597954868,1.3628107399350287
7.296705350919589,1.38250168144957
7.72228151726043,1.4125005367035057
6.471514245744717,1.5275669517559822
7.198092167861905,1.65249023675757
8.29337136768786,1.7005881311744233
9.033074210519281,2.0040957474611845
9.900379192886875,1.8008270091829595
10.858815226834118,2.0478520485079086
12.337974101655094,2.2633113509051412
12.607446679588529,2.5552885291234912
13.064168611588473,2.7248868490230596
14.528056932438412,2.764359175302407
14.017082660515099,2.4137601282829015
16.38054815796653,2.501842032909219
17.21102708021885,2.4315621747518343
17.331371730534503,2.3463491460207
16.62938127652347,3.376229327988983
17.59696435690343,3.3049111709606045
19.70343878571375,3.1218866472127806
27.50186649034136,4.06664403713646
25.95262576849747,2.6125305981371003
28.469418860442993,3.1230738261536692
29.49041065081453,2.9710081545236693
35.19550667471009,2.8879288882533927
35.7019501507239,3.014310221300495
33.73885002721555,3.079357370399051
32.80715128246973,3.402796357196153
42.9301736006228,3.379538830025374
42.61898758448714,3.1692873325527304
48.40213182120632,3.0152580673885825
52.330186474134976,3.192661569166558
54.22472934872013,3.3803543543573014
51.978219016457864,3.5533456890829167
50.53729693947071,3.7889372174507825
53.86120081399725,3.7891865548099473
58.631744491404696,3.7092537306235855
62.94843434004756,4.0411828087112855
71.4964368912655,3.9561076772942134
109.3612920975858,4.436551851109806
136.19474370443092,4.469337816108712
187.31225563244772,4.767368530860602
276.53969153775023,5.270380122504403
