"Diameter (km)","Depth (km)"
0.06495516925444635,0.010975059254107388
0.07074555069093241,0.012750518028848083
0.07384367194595248,0.014498804139710336
0.09003424143315235,0.01481557953670489
0.07877300372127556,0.019567099987632113
0.08515085024015756,0.01956867378843193
0.09270088450897784,0.019710547220211268
0.09014885773565427,0.022411518392502827
0.09276394068620857,0.0245908401607059
0.11071939291464182,0.024595335538708556
0.11883447340271103,0.024248570370773152
0.11885532815042789,0.02567317647044535
0.2535956330725582,0.030492973374185463
0.24484808392313012,0.033455943474786885
0.3139014938347727,0.04235039569867798
0.2945040391124626,0.04115590540815261
0.22344271244432334,0.03970200165073253
0.20240840053522463,0.04263436329046869
0.2784937014275194,0.05208105933654187
0.42336154208991733,0.07825653435282953
0.5017989651806934,0.08111342454273943
0.5503409096344017,0.09028628185115223
0.5465914135425759,0.09765840126917662
0.5993086235150517,0.09978113521409193
0.5506307052164975,0.1071524658848942
0.5024377703849446,0.1227002292765395
0.6717567793659805,0.1327597979256175
0.7364004483251443,0.12720751314841552
0.6440956615857398,0.15203095193936358
0.7011285181057705,0.1477656151063792
0.7062323739407422,0.1564480046621127
0.7687335364820684,0.14990393485491282
0.8021870864038059,0.15646859598553386
0.8981354452680225,0.14364409951938667
0.8789386261244918,0.12723076757374802
1.0135245086159166,0.17172018895568178
1.0503790449974242,0.1911282949887152
1.0287627526900573,0.2204444286671485
1.0075471114830243,0.25065415158252835
1.104576824819596,0.2453684006652067
1.2198996658449186,0.2635450852238991
1.3561773974409765,0.24194260464110062
1.201645743276717,0.19529128732867415
1.326782851547123,0.19392247275937025
1.618538012538882,0.2351770849832371
1.4256846947669093,0.27907327398621834
1.3097707315904301,0.2912562429526918
1.689825440866434,0.28926132671958665
1.763672293049672,0.31966713865055346
1.892980623780348,0.31741727885218596
2.090341278994465,0.32664179483910455
1.9896948264709022,0.3482909389405145
1.8669469376827257,0.3507621964651929
2.0185025063218665,0.37405921733866354
1.9485768956958391,0.39040878734828605
1.7776413386532157,0.4162660142686252
1.6210250870962517,0.3875590124764439
1.170155088751002,0.34562475296732936
2.136464812731432,0.3960584022427045
2.136933494196063,0.4253545326485139
2.2136669270227904,0.41046017414912733
1.949389157541871,0.4470993811442307
2.168300970159419,0.4871266617965561
2.2949168950258656,0.5084665689587946
2.1844683826051083,0.5460494953543235
2.738762119791569,0.4872442114580353
2.898562432826455,0.5013821000422787
2.8785618291221633,0.5270598491889246
3.004028020511527,0.5620457087927606
3.025829431213104,0.5908389198243926
3.2471775511450605,0.5580940369633318
3.510777887235421,0.5951616815371238
2.498563727899296,0.5232355484854164
2.499495596609745,0.5907222917406398
2.800544229498038,0.6912198490754518
3.136269638769464,0.6863850627579673
3.56285867113703,0.7165064119039213
3.76941993719704,0.6577415593489111
4.017515841613303,0.6672402384847479
3.878680068393206,0.7165692804659837
4.163603758076438,0.7426528581468467
4.374598731960978,0.716658353705167
4.376038310396107,0.7976271320520008
4.2548206288542625,0.8566019345552716
3.799275369642805,0.8565017301584541
3.441772520116729,0.9329835571411018
4.286263606395335,0.9398782734152575
4.698218731866056,0.8690041954256744
5.262588976929322,0.9267558369341105
5.568060662232304,0.8691567005257651
5.189872386962288,1.0024206314357098
5.93323801948606,0.8209811656534133
7.395533899302096,1.1002671592324191
5.939748819470161,1.1729847441368249
5.416080320243873,1.0689606031853458
4.94128913705155,1.1644225842745954
4.474460312908208,1.1075717776607095
5.417030810328599,1.1317621528157769
6.286594944893563,1.2243705283808743
6.287974050464953,1.3149362592462304
5.818660232790341,1.4426439406595468
6.751214548939896,1.4531987734279086
7.192883716980213,1.3057674856902852
7.666641688665242,1.3436654876385494
7.298145961464825,1.474206489806956
8.291370557880642,1.572201210641594
7.724653299172717,1.560907577904027
7.148580834557625,1.7495614225354146
7.672698074734709,1.7372477767664007
9.836163274300871,2.167941647684503
9.903202717025476,1.9758837057791776
9.357230383876361,1.9201680675755555
8.716896490186674,1.852727604105318
8.965629760336661,1.7499708180942914
11.408096059577773,1.9205612144960384
11.172832805516032,2.1837550837298814
10.411221992167395,2.3118818861645742
11.175528947643032,2.3620818707214637
10.633246711733799,2.2150323229188316
13.43135076864831,2.247414729084008
13.152054873152123,2.413601297207329
12.879131738649994,2.629336711175545
14.628037046838314,2.5739838165327207
19.68918161996449,2.4668575869711167
18.097498996937677,3.0337674815509974
24.86868877140766,2.4499074746308733
26.694930496822543,2.52103090826487
26.704300924023904,2.825954106000275
26.712502745955717,3.1228683205737706
32.10452015025935,2.9712688402725296
99.05978760513929,4.663321844915979
134.30106898429597,4.698195830886345
7.095051115383535,1.5168490040404117
7.351272719096264,1.560827690692426
10.939541400016207,2.27923708817134
7.891289351058467,1.6176428116115689
