Class (FINAL),Morph Class,Simplified Terrain,DEM,"Diameter, crater (m)",depth (m),depth/ Diameter,Avg Wall Slope (ø),rim h (avg),rim/D
AB,NORMAL,ejecta,Necho1,150,22.3,0.15,16.6,NaN,NaN
AB,NORMAL,ejecta,Necho1,133,20,0.15,15.9,NaN,NaN
AB,NORMAL,ejecta,Necho2,135,20.6,0.15,17.5,NaN,NaN
AB,NORMAL,ejecta,Necho2,403,79.2,0.2,22.4,NaN,NaN
AB,NORMAL,ejecta,Necho2,198,27.4,0.14,16.2,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,138,26,0.19,20.6,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,162,29.6,0.18,20.3,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,98,15.9,0.16,18.1,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,104,17.8,0.17,18.9,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,126,22.7,0.18,19.7,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,146,22.3,0.15,17.3,NaN,NaN
AB,NORMAL,highlands,NectarisRim_I_mosaic,93,11.6,0.12,14,NaN,NaN
AB,NORMAL,highlands,OppenhiemerF,139,21.3,0.15,17.3,NaN,NaN
AB,NORMAL,highlands,OppenhiemerF,127,20.1,0.16,18.3,NaN,NaN
AB,NORMAL,impact_melt,Surveyor7,73,10.7,0.15,16.7,NaN,NaN
AB,NORMAL,ejecta,Surveyor7,111,17.5,0.16,18.6,NaN,NaN
AB,NORMAL,ejecta,Surveyor7,73,11.4,0.16,18.5,NaN,NaN
AB,NORMAL,highlands,WeirdCrater,98,15.6,0.16,17.7,NaN,NaN
AB,NORMAL,highlands,WeirdCrater,65,8.5,0.13,15.9,NaN,NaN
AB,NORMAL,highlands,WeirdCrater,58,6.9,0.12,13.9,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,75,11.8,0.16,17.4,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,135,20.4,0.15,17.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,46,4.7,0.1,12.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,62,7.8,0.13,14.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,39,4.2,0.11,12.3,NaN,NaN
AB,NORMAL,ejecta,WienerF_mosaic,64,9.5,0.15,17,NaN,NaN
